"sjob.COMM","year","sjob.TOTWGT"
"AMERICAN PLAICE",1970,1209
"COD(ATLANTIC)",1970,1476
"HADDOCK",1970,740
"HALIBUT(ATLANTIC)",1970,21
"HERRING(ATLANTIC)",1970,315
"NORTHERN SAND LANCE",1970,319
"REDFISH UNSEPARATED",1970,3999
"SILVER HAKE",1970,372
"TURBOT,GREENLAND HALIBUT",1970,17
"WHITE HAKE",1970,340
"WITCH FLOUNDER",1970,197
"YELLOWTAIL FLOUNDER",1970,791
"AMERICAN PLAICE",1971,653
"COD(ATLANTIC)",1971,1485
"HADDOCK",1971,493
"HALIBUT(ATLANTIC)",1971,34
"HERRING(ATLANTIC)",1971,57
"NORTHERN SAND LANCE",1971,0
"REDFISH UNSEPARATED",1971,3428
"SILVER HAKE",1971,109
"TURBOT,GREENLAND HALIBUT",1971,10
"WHITE HAKE",1971,161
"WITCH FLOUNDER",1971,158
"YELLOWTAIL FLOUNDER",1971,447
"AMERICAN PLAICE",1972,906
"COD(ATLANTIC)",1972,1445
"HADDOCK",1972,303
"HALIBUT(ATLANTIC)",1972,52
"HERRING(ATLANTIC)",1972,68
"NORTHERN SAND LANCE",1972,427.8
"REDFISH UNSEPARATED",1972,2041
"SILVER HAKE",1972,221
"SPINY DOGFISH",1972,41
"TURBOT,GREENLAND HALIBUT",1972,12
"WHITE HAKE",1972,216
"WITCH FLOUNDER",1972,158
"YELLOWTAIL FLOUNDER",1972,936
"AMERICAN PLAICE",1973,773
"COD(ATLANTIC)",1973,3625
"HADDOCK",1973,222
"HALIBUT(ATLANTIC)",1973,73
"HERRING(ATLANTIC)",1973,181
"NORTHERN SAND LANCE",1973,15
"REDFISH UNSEPARATED",1973,1633
"SILVER HAKE",1973,235
"SPINY DOGFISH",1973,3
"TURBOT,GREENLAND HALIBUT",1973,9
"WHITE HAKE",1973,358
"WITCH FLOUNDER",1973,273
"YELLOWTAIL FLOUNDER",1973,646
"AMERICAN PLAICE",1974,2214
"COD(ATLANTIC)",1974,1546
"HADDOCK",1974,405
"HALIBUT(ATLANTIC)",1974,39
"HERRING(ATLANTIC)",1974,1
"NORTHERN SAND LANCE",1974,34
"REDFISH UNSEPARATED",1974,1536
"SILVER HAKE",1974,487
"SPINY DOGFISH",1974,2
"TURBOT,GREENLAND HALIBUT",1974,20
"WHITE HAKE",1974,705
"WITCH FLOUNDER",1974,703
"YELLOWTAIL FLOUNDER",1974,1200
"AMERICAN PLAICE",1975,1113
"COD(ATLANTIC)",1975,1256
"HADDOCK",1975,815
"HALIBUT(ATLANTIC)",1975,54
"HERRING(ATLANTIC)",1975,47
"NORTHERN SAND LANCE",1975,1
"REDFISH UNSEPARATED",1975,4365
"SILVER HAKE",1975,61
"TURBOT,GREENLAND HALIBUT",1975,8
"WHITE HAKE",1975,258
"WITCH FLOUNDER",1975,213
"YELLOWTAIL FLOUNDER",1975,871
"AMERICAN PLAICE",1976,1216
"COD(ATLANTIC)",1976,1108
"HADDOCK",1976,367
"HALIBUT(ATLANTIC)",1976,101
"HERRING(ATLANTIC)",1976,2
"NORTHERN SAND LANCE",1976,45
"REDFISH UNSEPARATED",1976,1379
"SILVER HAKE",1976,232
"TURBOT,GREENLAND HALIBUT",1976,5
"WHITE HAKE",1976,374
"WITCH FLOUNDER",1976,108
"YELLOWTAIL FLOUNDER",1976,759
"AMERICAN PLAICE",1977,711
"COD(ATLANTIC)",1977,2180
"HADDOCK",1977,1865
"HALIBUT(ATLANTIC)",1977,77
"HERRING(ATLANTIC)",1977,17
"NORTHERN SAND LANCE",1977,1
"REDFISH UNSEPARATED",1977,3327
"SILVER HAKE",1977,88
"TURBOT,GREENLAND HALIBUT",1977,11
"WHITE HAKE",1977,476
"WITCH FLOUNDER",1977,149
"YELLOWTAIL FLOUNDER",1977,1349
"AMERICAN PLAICE",1978,2089
"COD(ATLANTIC)",1978,5955
"HADDOCK",1978,7402
"HALIBUT(ATLANTIC)",1978,370
"HERRING(ATLANTIC)",1978,83
"NORTHERN SAND LANCE",1978,0
"REDFISH UNSEPARATED",1978,8479
"SILVER HAKE",1978,1346
"SPINY DOGFISH",1978,149
"TURBOT,GREENLAND HALIBUT",1978,35
"WHITE HAKE",1978,1774
"WITCH FLOUNDER",1978,333
"YELLOWTAIL FLOUNDER",1978,1997
"AMERICAN PLAICE",1979,3821
"COD(ATLANTIC)",1979,7767
"HADDOCK",1979,8633
"HALIBUT(ATLANTIC)",1979,570
"HERRING(ATLANTIC)",1979,3
"NORTHERN SAND LANCE",1979,5
"REDFISH UNSEPARATED",1979,4293
"SILVER HAKE",1979,1098
"SPINY DOGFISH",1979,149
"TURBOT,GREENLAND HALIBUT",1979,28
"WHITE HAKE",1979,1634
"WITCH FLOUNDER",1979,829
"YELLOWTAIL FLOUNDER",1979,2365
"AMERICAN PLAICE",1980,2508
"COD(ATLANTIC)",1980,13401
"HADDOCK",1980,8704
"HALIBUT(ATLANTIC)",1980,496
"HERRING(ATLANTIC)",1980,130
"NORTHERN SAND LANCE",1980,2
"REDFISH UNSEPARATED",1980,5517
"SILVER HAKE",1980,2048
"SPINY DOGFISH",1980,4154
"TURBOT,GREENLAND HALIBUT",1980,18
"WHITE HAKE",1980,1099
"WITCH FLOUNDER",1980,302
"YELLOWTAIL FLOUNDER",1980,2042
"AMERICAN PLAICE",1981,3480
"COD(ATLANTIC)",1981,12554
"HADDOCK",1981,19225
"HALIBUT(ATLANTIC)",1981,636
"HERRING(ATLANTIC)",1981,91
"NORTHERN SAND LANCE",1981,5
"REDFISH UNSEPARATED",1981,4488
"SILVER HAKE",1981,3270
"SPINY DOGFISH",1981,343
"TURBOT,GREENLAND HALIBUT",1981,32
"WHITE HAKE",1981,4153
"WITCH FLOUNDER",1981,944
"YELLOWTAIL FLOUNDER",1981,2575
"AMERICAN PLAICE",1982,3188
"COD(ATLANTIC)",1982,17772
"HADDOCK",1982,10387
"HALIBUT(ATLANTIC)",1982,496
"HERRING(ATLANTIC)",1982,109
"NORTHERN SAND LANCE",1982,3
"REDFISH UNSEPARATED",1982,3722
"SILVER HAKE",1982,3720
"SPINY DOGFISH",1982,3192
"TURBOT,GREENLAND HALIBUT",1982,9
"WHITE HAKE",1982,1214
"WITCH FLOUNDER",1982,315
"YELLOWTAIL FLOUNDER",1982,2775
"AMERICAN PLAICE",1983,2235
"COD(ATLANTIC)",1983,16935
"HADDOCK",1983,16437
"HALIBUT(ATLANTIC)",1983,354
"HERRING(ATLANTIC)",1983,952
"NORTHERN SAND LANCE",1983,2
"REDFISH UNSEPARATED",1983,6587
"SILVER HAKE",1983,2829
"SPINY DOGFISH",1983,5581
"TURBOT,GREENLAND HALIBUT",1983,3
"WHITE HAKE",1983,2661
"WITCH FLOUNDER",1983,491
"YELLOWTAIL FLOUNDER",1983,1347
"AMERICAN PLAICE",1984,2721
"COD(ATLANTIC)",1984,15271
"HADDOCK",1984,17607
"HALIBUT(ATLANTIC)",1984,314
"HERRING(ATLANTIC)",1984,212
"NORTHERN SAND LANCE",1984,8
"REDFISH UNSEPARATED",1984,6401
"SILVER HAKE",1984,4484
"SPINY DOGFISH",1984,6354
"SWORDFISH",1984,21
"TURBOT,GREENLAND HALIBUT",1984,4
"WHITE HAKE",1984,2971
"WITCH FLOUNDER",1984,835
"YELLOWTAIL FLOUNDER",1984,1617
"AMERICAN PLAICE",1985,1180
"COD(ATLANTIC)",1985,6021
"HADDOCK",1985,4425
"HALIBUT(ATLANTIC)",1985,55
"HERRING(ATLANTIC)",1985,121
"NORTHERN SAND LANCE",1985,2
"REDFISH UNSEPARATED",1985,3066
"SILVER HAKE",1985,2565
"SPINY DOGFISH",1985,2800
"TURBOT,GREENLAND HALIBUT",1985,4
"WHITE HAKE",1985,2435
"WITCH FLOUNDER",1985,143
"YELLOWTAIL FLOUNDER",1985,701
"AMERICAN PLAICE",1986,1268
"COD(ATLANTIC)",1986,11466
"HADDOCK",1986,10109
"HALIBUT(ATLANTIC)",1986,145
"HERRING(ATLANTIC)",1986,462
"NORTHERN SAND LANCE",1986,8
"REDFISH UNSEPARATED",1986,4316
"SILVER HAKE",1986,2961
"SPINY DOGFISH",1986,4375
"TURBOT,GREENLAND HALIBUT",1986,6
"WHITE HAKE",1986,1714
"WITCH FLOUNDER",1986,355
"YELLOWTAIL FLOUNDER",1986,921
"AMERICAN PLAICE",1987,1655
"COD(ATLANTIC)",1987,5866
"HADDOCK",1987,9711
"HALIBUT(ATLANTIC)",1987,295
"HERRING(ATLANTIC)",1987,3246
"NORTHERN SAND LANCE",1987,24
"REDFISH UNSEPARATED",1987,6416
"SILVER HAKE",1987,2576
"SPINY DOGFISH",1987,794
"TURBOT,GREENLAND HALIBUT",1987,16
"WHITE HAKE",1987,1537
"WITCH FLOUNDER",1987,670
"YELLOWTAIL FLOUNDER",1987,1313
"AMERICAN PLAICE",1988,1036
"COD(ATLANTIC)",1988,7178
"HADDOCK",1988,8691
"HALIBUT(ATLANTIC)",1988,166
"HERRING(ATLANTIC)",1988,908
"NORTHERN SAND LANCE",1988,158
"REDFISH UNSEPARATED",1988,6738
"SILVER HAKE",1988,2025
"SPINY DOGFISH",1988,9094
"TURBOT,GREENLAND HALIBUT",1988,9
"WHITE HAKE",1988,844
"WITCH FLOUNDER",1988,256
"YELLOWTAIL FLOUNDER",1988,1307
"AMERICAN PLAICE",1989,1350
"COD(ATLANTIC)",1989,7187
"HADDOCK",1989,5540
"HALIBUT(ATLANTIC)",1989,267
"HERRING(ATLANTIC)",1989,687
"NORTHERN SAND LANCE",1989,21
"REDFISH UNSEPARATED",1989,10094
"SILVER HAKE",1989,2313
"SPINY DOGFISH",1989,2287
"TURBOT,GREENLAND HALIBUT",1989,6
"WHITE HAKE",1989,769
"WITCH FLOUNDER",1989,272
"YELLOWTAIL FLOUNDER",1989,929
"AMERICAN PLAICE",1990,1421
"COD(ATLANTIC)",1990,6248
"HADDOCK",1990,7581
"HALIBUT(ATLANTIC)",1990,253
"HERRING(ATLANTIC)",1990,3725
"NORTHERN SAND LANCE",1990,2
"REDFISH UNSEPARATED",1990,3890
"SILVER HAKE",1990,1364
"SPINY DOGFISH",1990,5092
"TURBOT,GREENLAND HALIBUT",1990,12
"WHITE HAKE",1990,440
"WITCH FLOUNDER",1990,124
"YELLOWTAIL FLOUNDER",1990,1470
"AMERICAN PLAICE",1991,1404
"COD(ATLANTIC)",1991,6815
"HADDOCK",1991,7030
"HALIBUT(ATLANTIC)",1991,400.5
"HERRING(ATLANTIC)",1991,700
"NORTHERN SAND LANCE",1991,187
"REDFISH UNSEPARATED",1991,6097
"SILVER HAKE",1991,2252
