Lat,Lon
44.5,-63
44,-63
43.5,-63
43,-63
44.5,-62.5
44,-62.5
43.5,-62.5
43,-62.5
45,-62
44.5,-62
44,-62
43.5,-62
43,-62
45,-61.5
44.5,-61.5
44,-61.5
43.5,-61.5
43,-61.5
45.5,-61
45,-61
44.5,-61
44,-61
43.5,-61
45.5,-60.5
45,-60.5
44.5,-60.5
44,-60.5
43.5,-60.5
47.5,-60
47,-60
46.5,-60
45.5,-60
45,-60
44.5,-60
44,-60
43.5,-60
47,-59.5
46.5,-59.5
46,-59.5
45.5,-59.5
45,-59.5
44.5,-59.5
44,-59.5
46.5,-59
46,-59
45.5,-59
45,-59
44.5,-59
44,-59
46.5,-58.5
46,-58.5
45.5,-58.5
45,-58.5
44.5,-58.5
44,-58.5
46,-58
45.5,-58
45,-58
44.5,-58
45.5,-57.5
45,-57.5
44.5,-57.5
45,-57
44.5,-57
