Stock_ID,Year,total biomass,spawning stock biomass,fishing mortality,exploitation rate
YELL3LNO,1970,1.20E+05,,2.33E-01,2.19E-01
YELL3LNO,1971,1.07E+05,,3.89E-01,3.48E-01
YELL3LNO,1972,8.68E+04,,5.20E-01,4.52E-01
YELL3LNO,1973,6.62E+04,,5.65E-01,4.96E-01
YELL3LNO,1974,5.13E+04,,5.17E-01,4.74E-01
YELL3LNO,1975,4.33E+04,,5.90E-01,5.29E-01
YELL3LNO,1976,3.50E+04,,2.11E-01,2.30E-01
YELL3LNO,1977,4.13E+04,,2.69E-01,2.82E-01
YELL3LNO,1978,4.53E+04,,3.39E-01,3.41E-01
YELL3LNO,1979,4.60E+04,,4.11E-01,3.99E-01
YELL3LNO,1980,4.35E+04,,2.73E-01,2.84E-01
YELL3LNO,1981,4.72E+04,,3.06E-01,3.11E-01
YELL3LNO,1982,4.90E+04,,2.62E-01,2.72E-01
YELL3LNO,1983,5.27E+04,,1.86E-01,1.99E-01
YELL3LNO,1984,6.00E+04,9.10E+04,2.76E-01,2.79E-01
YELL3LNO,1985,6.15E+04,6.17E+04,5.23E-01,4.71E-01
YELL3LNO,1986,5.01E+04,5.52E+04,7.19E-01,6.02E-01
YELL3LNO,1987,3.52E+04,4.91E+04,4.86E-01,4.63E-01
YELL3LNO,1988,3.22E+04,3.58E+04,5.38E-01,5.03E-01
YELL3LNO,1989,2.82E+04,2.80E+04,3.51E-01,3.62E-01
YELL3LNO,1990,2.99E+04,3.63E+04,4.87E-01,4.68E-01
YELL3LNO,1991,2.77E+04,2.86E+04,6.57E-01,5.84E-01
YELL3LNO,1992,2.20E+04,2.06E+04,5.08E-01,4.89E-01
YELL3LNO,1993,2.05E+04,3.68E+04,7.83E-01,6.64E-01
YELL3LNO,1994,1.47E+04,2.12E+04,1.18E-01,1.41E-01
YELL3LNO,1995,2.05E+04,2.47E+04,3.00E-03,3.27E-03
YELL3LNO,1996,3.12E+04,6.76E+04,6.00E-03,7.44E-03
YELL3LNO,1997,4.53E+04,6.31E+04,1.20E-02,1.45E-02
YELL3LNO,1998,6.20E+04,6.66E+04,6.30E-02,7.08E-02
YELL3LNO,1999,7.63E+04,1.38E+05,8.40E-02,9.04E-02
YELL3LNO,2000,8.79E+04,1.19E+05,1.22E-01,1.27E-01
YELL3LNO,2001,9.45E+04,1.35E+05,1.47E-01,1.50E-01
YELL3LNO,2002,9.74E+04,6.88E+04,1.07E-01,1.10E-01
YELL3LNO,2003,1.03E+05,1.68E+05,1.33E-01,1.34E-01
YELL3LNO,2004,1.05E+05,1.52E+05,1.26E-01,1.27E-01
YELL3LNO,2005,1.07E+05,1.79E+05,1.30E-01,1.31E-01
YELL3LNO,2006,1.08E+05,2.10E+05,8.00E-03,8.64E-03
YELL3LNO,2007,1.20E+05,2.04E+05,3.80E-02,3.86E-02
YELL3LNO,2008,1.26E+05,2.42E+05,1.26E-01,
YELL3LNO,2009,1.20E+05,1.20E+05,,
YELL3LNO,2010,,2.11E+05,,
YELL3LNO,2011,,2.11E+05,,
YELL3LNO,2012,,1.98E+05,,
YELL3LNO,2013,,1.95E+05,,
YELL3LNO,2014,,1.62E+05,,
YELL3LNO,2015,,,,
AMPL4VWX,1970,,2.47E+04,,
AMPL4VWX,1971,,3.55E+04,,
AMPL4VWX,1972,,3.07E+04,,
AMPL4VWX,1973,,2.72E+04,,
AMPL4VWX,1974,,3.74E+04,,
AMPL4VWX,1975,,3.59E+04,,
AMPL4VWX,1976,,3.99E+04,,
AMPL4VWX,1977,,2.82E+04,,
AMPL4VWX,1978,,3.01E+04,,
AMPL4VWX,1979,,3.62E+04,,
AMPL4VWX,1980,,4.30E+04,,
AMPL4VWX,1981,,3.66E+04,,
AMPL4VWX,1982,,3.41E+04,,
AMPL4VWX,1983,,2.46E+04,,
AMPL4VWX,1984,,2.98E+04,,
AMPL4VWX,1985,,3.06E+04,,
AMPL4VWX,1986,,2.27E+04,,
AMPL4VWX,1987,,2.63E+04,,
AMPL4VWX,1988,,2.52E+04,,
AMPL4VWX,1989,,3.15E+04,,
AMPL4VWX,1990,,2.58E+04,,
AMPL4VWX,1991,,2.35E+04,,
AMPL4VWX,1992,,2.58E+04,,
AMPL4VWX,1993,,1.91E+04,,
AMPL4VWX,1994,,1.60E+04,,
AMPL4VWX,1995,,1.89E+04,,
AMPL4VWX,1996,,1.90E+04,,
AMPL4VWX,1997,,2.14E+04,,
AMPL4VWX,1998,,1.85E+04,,
AMPL4VWX,1999,,1.82E+04,,
AMPL4VWX,2000,,1.70E+04,,
AMPL4VWX,2001,,1.55E+04,,
AMPL4VWX,2002,,1.99E+04,,
AMPL4VWX,2003,,2.20E+04,,
AMPL4VWX,2004,,2.55E+04,,
AMPL4VWX,2005,,2.30E+04,,
AMPL4VWX,2006,,2.60E+04,,
AMPL4VWX,2007,,2.23E+04,,
AMPL4VWX,2008,,1.67E+04,,
AMPL4VWX,2009,,1.58E+04,,
AMPL4VWX,2010,,,,
ATHAL3NOPs4VWX5Zc,1970,3.78E+03,3.89E+02,1.83E-01,
ATHAL3NOPs4VWX5Zc,1971,3.39E+03,3.41E+02,2.31E-01,
ATHAL3NOPs4VWX5Zc,1972,2.89E+03,2.37E+02,2.24E-01,
ATHAL3NOPs4VWX5Zc,1973,2.71E+03,1.57E+02,2.47E-01,
ATHAL3NOPs4VWX5Zc,1974,2.95E+03,8.99E+01,2.00E-01,
ATHAL3NOPs4VWX5Zc,1975,3.65E+03,6.87E+01,1.75E-01,
ATHAL3NOPs4VWX5Zc,1976,4.93E+03,8.71E+01,1.42E-01,
ATHAL3NOPs4VWX5Zc,1977,6.75E+03,1.60E+02,1.04E-01,
ATHAL3NOPs4VWX5Zc,1978,8.75E+03,3.39E+02,1.12E-01,
ATHAL3NOPs4VWX5Zc,1979,1.09E+04,6.86E+02,1.12E-01,
ATHAL3NOPs4VWX5Zc,1980,1.30E+04,1.26E+03,1.20E-01,
ATHAL3NOPs4VWX5Zc,1981,1.48E+04,2.08E+03,1.17E-01,
ATHAL3NOPs4VWX5Zc,1982,1.65E+04,3.17E+03,1.37E-01,
ATHAL3NOPs4VWX5Zc,1983,1.70E+04,4.27E+03,1.56E-01,
ATHAL3NOPs4VWX5Zc,1984,1.70E+04,5.27E+03,2.32E-01,
ATHAL3NOPs4VWX5Zc,1985,1.57E+04,5.68E+03,3.12E-01,
ATHAL3NOPs4VWX5Zc,1986,1.30E+04,5.34E+03,3.50E-01,
ATHAL3NOPs4VWX5Zc,1987,1.10E+04,4.64E+03,2.93E-01,
ATHAL3NOPs4VWX5Zc,1988,9.95E+03,3.98E+03,5.52E-01,
ATHAL3NOPs4VWX5Zc,1989,8.96E+03,3.00E+03,6.01E-01,
ATHAL3NOPs4VWX5Zc,1990,8.88E+03,2.18E+03,5.82E-01,
ATHAL3NOPs4VWX5Zc,1991,7.84E+03,1.53E+03,4.07E-01,
ATHAL3NOPs4VWX5Zc,1992,5.87E+03,1.14E+03,6.85E-01,
ATHAL3NOPs4VWX5Zc,1993,5.59E+03,7.78E+02,2.70E-01,
ATHAL3NOPs4VWX5Zc,1994,5.07E+03,5.23E+02,9.49E-02,
ATHAL3NOPs4VWX5Zc,1995,5.34E+03,4.10E+02,1.58E-01,
ATHAL3NOPs4VWX5Zc,1996,6.02E+03,4.60E+02,2.30E-01,
ATHAL3NOPs4VWX5Zc,1997,6.80E+03,6.12E+02,1.94E-01,
ATHAL3NOPs4VWX5Zc,1998,7.24E+03,8.33E+02,2.81E-01,
ATHAL3NOPs4VWX5Zc,1999,7.89E+03,1.16E+03,1.24E-01,
ATHAL3NOPs4VWX5Zc,2000,8.57E+03,1.55E+03,1.45E-01,
ATHAL3NOPs4VWX5Zc,2001,9.55E+03,1.97E+03,1.86E-01,
ATHAL3NOPs4VWX5Zc,2002,9.86E+03,2.21E+03,1.76E-01,
ATHAL3NOPs4VWX5Zc,2003,9.89E+03,2.39E+03,2.62E-01,
ATHAL3NOPs4VWX5Zc,2004,9.67E+03,2.56E+03,2.17E-01,
ATHAL3NOPs4VWX5Zc,2005,9.90E+03,2.69E+03,1.69E-01,
ATHAL3NOPs4VWX5Zc,2006,1.07E+04,2.81E+03,1.63E-01,
ATHAL3NOPs4VWX5Zc,2007,1.22E+04,2.89E+03,1.23E-01,
ATHAL3NOPs4VWX5Zc,2008,1.41E+04,2.90E+03,2.34E-01,
ATHAL3NOPs4VWX5Zc,2009,1.69E+04,3.08E+03,1.83E-01,
ATHAL3NOPs4VWX5Zc,2010,1.89E+04,3.43E+03,3.00E-01,0.097883598
ATHAL3NOPs4VWX5Zc,2011,2.24E+04,4.09E+03,,0.08125
ATHAL3NOPs4VWX5Zc,2012,2.71E+04,5.22E+03,,0.078597786
ATHAL3NOPs4VWX5Zc,2013,3.18E+04,6.65E+03,,0.072012579
ATHAL3NOPs4VWX5Zc,2014,,,,
COD4TVn,1970,1.70E+05,,,3.87E-01
COD4TVn,1971,1.36E+05,1.54E+05,3.73E-01,4.28E-01
COD4TVn,1972,1.19E+05,1.42E+05,5.44E-01,5.79E-01
COD4TVn,1973,1.08E+05,1.17E+05,5.12E-01,4.81E-01
COD4TVn,1974,8.14E+04,1.12E+05,5.99E-01,6.23E-01
COD4TVn,1975,7.07E+04,1.05E+05,3.99E-01,6.11E-01
COD4TVn,1976,7.50E+04,1.07E+05,5.08E-01,5.00E-01
COD4TVn,1977,8.04E+04,1.53E+05,2.57E-01,3.40E-01
COD4TVn,1978,1.61E+05,2.48E+05,1.91E-01,2.34E-01
COD4TVn,1979,2.50E+05,3.17E+05,1.89E-01,2.30E-01
COD4TVn,1980,2.99E+05,3.37E+05,1.83E-01,1.92E-01
COD4TVn,1981,3.19E+05,3.66E+05,2.09E-01,2.10E-01
COD4TVn,1982,3.26E+05,3.68E+05,1.86E-01,1.90E-01
