Species,Year,SSB.g
AMERICAN PLAICE,1970,2.47E+04
AMERICAN PLAICE,1971,3.55E+04
AMERICAN PLAICE,1972,3.07E+04
AMERICAN PLAICE,1973,2.72E+04
AMERICAN PLAICE,1974,3.74E+04
AMERICAN PLAICE,1975,3.59E+04
AMERICAN PLAICE,1976,3.99E+04
AMERICAN PLAICE,1977,2.82E+04
AMERICAN PLAICE,1978,3.01E+04
AMERICAN PLAICE,1979,3.62E+04
AMERICAN PLAICE,1980,4.30E+04
AMERICAN PLAICE,1981,3.66E+04
AMERICAN PLAICE,1982,3.41E+04
AMERICAN PLAICE,1983,2.46E+04
AMERICAN PLAICE,1984,2.98E+04
AMERICAN PLAICE,1985,3.06E+04
AMERICAN PLAICE,1986,2.27E+04
AMERICAN PLAICE,1987,2.63E+04
AMERICAN PLAICE,1988,2.52E+04
AMERICAN PLAICE,1989,3.15E+04
AMERICAN PLAICE,1990,2.58E+04
AMERICAN PLAICE,1991,2.35E+04
AMERICAN PLAICE,1992,2.58E+04
AMERICAN PLAICE,1993,1.91E+04
AMERICAN PLAICE,1994,1.60E+04
AMERICAN PLAICE,1995,1.89E+04
AMERICAN PLAICE,1996,1.90E+04
AMERICAN PLAICE,1997,2.14E+04
AMERICAN PLAICE,1998,1.85E+04
AMERICAN PLAICE,1999,1.82E+04
AMERICAN PLAICE,2000,1.70E+04
AMERICAN PLAICE,2001,1.55E+04
AMERICAN PLAICE,2002,1.99E+04
AMERICAN PLAICE,2003,2.20E+04
AMERICAN PLAICE,2004,2.55E+04
AMERICAN PLAICE,2005,2.30E+04
AMERICAN PLAICE,2006,2.60E+04
AMERICAN PLAICE,2007,2.23E+04
AMERICAN PLAICE,2008,1.67E+04
AMERICAN PLAICE,2009,1.58E+04
AMERICAN PLAICE,2010,
AMERICAN PLAICE,2011,
AMERICAN PLAICE,2012,
AMERICAN PLAICE,2013,
AMERICAN PLAICE,2014,
AMERICAN PLAICE,2015,
AMERICAN PLAICE,2016,
AMERICAN PLAICE,2017,
COD(ATLANTIC),1970,3.04E+04
COD(ATLANTIC),1971,5.21E+04
COD(ATLANTIC),1972,4.52E+04
COD(ATLANTIC),1973,8.44E+04
COD(ATLANTIC),1974,1.73E+04
COD(ATLANTIC),1975,1.64E+04
