Year,AMERICAN PLAICE,COD(ATLANTIC),HADDOCK,HERRING(ATLANTIC),REDFISH (UNSEPARATED),SPINY DOGFISH,WITCH FLOUNDER,"TURBOT,GREENLAND HALIBUT",YELLOWTAIL FLOUNDER
1970,2.47E+04,3.04E+04,7.00E+04,,,1.16E+06,2.85E+04,,
1971,3.55E+04,5.21E+04,5.00E+04,,,1.18E+06,2.50E+04,,
1972,3.07E+04,4.52E+04,4.06E+04,,,1.10E+06,2.32E+04,,
1973,2.72E+04,8.44E+04,4.10E+04,,,9.76E+05,2.51E+04,,
1974,3.74E+04,1.73E+04,3.39E+04,,,7.58E+05,2.58E+04,1.98E+05,
1975,3.59E+04,1.64E+04,4.37E+04,,,5.17E+05,2.79E+04,1.80E+05,
1976,3.99E+04,2.65E+04,5.07E+04,,,4.01E+05,2.55E+04,1.78E+05,
1977,2.82E+04,4.70E+04,4.74E+04,,,4.19E+05,2.58E+04,1.83E+05,
1978,3.01E+04,5.61E+04,6.07E+04,,,4.47E+05,2.13E+04,1.90E+05,
1979,3.62E+04,8.08E+04,6.95E+04,,,4.28E+05,1.84E+04,2.07E+05,
1980,4.30E+04,8.63E+04,6.42E+04,,,4.15E+05,1.44E+04,2.36E+05,
1981,3.66E+04,9.33E+04,6.41E+04,,,3.97E+05,1.24E+04,2.71E+05,
1982,3.41E+04,1.10E+05,5.66E+04,,,3.79E+05,1.11E+04,2.56E+05,
1983,2.46E+04,1.49E+05,5.05E+04,,,3.51E+05,1.07E+04,2.91E+05,
1984,2.98E+04,1.72E+05,4.13E+04,,,3.42E+05,1.15E+04,2.45E+05,9.10E+04
1985,3.06E+04,1.09E+05,3.36E+04,,,3.28E+05,1.32E+04,2.51E+05,6.17E+04
1986,2.27E+04,5.75E+04,3.64E+04,,,3.15E+05,1.60E+04,2.65E+05,5.52E+04
1987,2.63E+04,8.82E+04,3.34E+04,,,2.75E+05,1.58E+04,1.99E+05,4.91E+04
1988,2.52E+04,6.38E+04,2.75E+04,,5.50E+04,2.46E+05,1.58E+04,1.21E+05,3.58E+04
1989,3.15E+04,5.16E+04,2.04E+04,,4.80E+04,1.99E+05,1.40E+04,1.21E+05,2.80E+04
1990,2.58E+04,5.23E+04,1.85E+04,,3.80E+04,1.32E+05,1.23E+04,5.58E+04,3.63E+04
1991,2.35E+04,4.10E+04,2.66E+04,,1.50E+04,1.14E+05,9.54E+03,4.54E+04,2.86E+04
1992,2.58E+04,2.24E+04,2.94E+04,,2.30E+04,1.04E+05,6.89E+03,2.83E+04,2.06E+04
1993,1.91E+04,4.60E+04,2.21E+04,,9.00E+03,9.95E+04,5.15E+03,1.80E+04,3.68E+04
1994,1.60E+04,1.39E+04,2.03E+04,,9.00E+03,1.09E+05,5.26E+03,5.24E+03,2.12E+04
1995,1.89E+04,1.93E+04,2.25E+04,,8.00E+03,1.20E+05,5.36E+03,1.26E+04,2.47E+04
1996,1.90E+04,7.76E+03,2.61E+04,,7.00E+03,1.30E+05,5.79E+03,1.37E+04,6.76E+04
1997,2.14E+04,4.61E+03,2.79E+04,5.69E+05,1.90E+04,1.32E+05,6.01E+03,1.63E+04,6.31E+04
1998,1.85E+04,1.92E+04,2.73E+04,5.21E+05,2.00E+04,1.29E+05,6.80E+03,1.66E+04,6.66E+04
1999,1.82E+04,1.66E+04,2.15E+04,5.06E+05,3.10E+04,1.23E+05,7.96E+03,2.14E+04,1.38E+05
2000,1.70E+04,6.70E+03,2.19E+04,4.63E+05,5.40E+04,1.11E+05,8.13E+03,1.97E+04,1.19E+05
2001,1.55E+04,1.02E+04,2.06E+04,4.61E+05,1.40E+04,9.02E+04,7.87E+03,1.98E+04,1.35E+05
2002,1.99E+04,4.72E+03,2.38E+04,5.43E+05,1.40E+04,6.10E+04,7.62E+03,1.93E+04,6.88E+04
2003,2.20E+04,,2.64E+04,5.06E+05,8.00E+03,4.54E+04,7.31E+03,1.93E+04,1.68E+05
2004,2.55E+04,,2.72E+04,4.82E+05,1.20E+04,3.13E+04,7.06E+03,2.39E+04,1.52E+05
2005,2.30E+04,,2.56E+04,2.33E+05,2.80E+04,1.12E+04,7.06E+03,2.39E+04,1.79E+05
2006,2.60E+04,,2.35E+04,2.87E+05,2.20E+04,5.12E+03,6.57E+03,2.30E+04,2.10E+05
2007,2.23E+04,,3.81E+04,3.84E+05,4.80E+04,4.51E+03,5.72E+03,2.28E+04,2.04E+05
2008,1.67E+04,,3.79E+04,2.21E+05,3.90E+04,3.90E+03,5.67E+03,1.75E+04,2.42E+05
2009,1.58E+04,,3.81E+04,3.77E+05,7.20E+04,3.37E+03,5.31E+03,2.08E+04,1.20E+05
2010,,,4.27E+04,2.52E+05,3.30E+04,2.85E+03,5.43E+03,1.58E+04,2.11E+05
2011,,,,4.49E+05,2.50E+04,2.55E+03,4.99E+03,2.06E+04,2.11E+05
2012,,,,4.76E+05,6.30E+04,2.18E+03,,1.78E+04,1.98E+05
2013,,,,,6.30E+04,1.79E+03,,1.56E+04,1.95E+05
2014,,,,,6.30E+04,,,1.83E+04,1.62E+05
2015,,,,,,,,1.77E+04,
2016,,,,,,,,,
2017,,,,,,,,,
