Year,AMERICAN PLAICE,COD(ATLANTIC),HADDOCK,HERRING(ATLANTIC),REDFISH (UNSEPARATED),SPINY DOGFISH,WITCH FLOUNDER,"TURBOT,GREENLAND HALIBUT",YELLOWTAIL FLOUNDER
1970,24700000000,30400000000,70000000000,,,1.16E+12,28500000000,,
1971,35500000000,52100000000,50000000000,,,1.18E+12,25000000000,,
1972,30700000000,45200000000,40600000000,,,1.1E+12,23200000000,,
1973,27200000000,84400000000,41000000000,,,9.76E+11,25100000000,,
1974,37400000000,17300000000,33900000000,,,7.58E+11,25800000000,1.98E+11,
1975,35900000000,16400000000,43700000000,,,5.17E+11,27900000000,1.8E+11,
1976,39900000000,26500000000,50700000000,,,4.01E+11,25500000000,1.78E+11,
1977,28200000000,47000000000,47400000000,,,4.19E+11,25800000000,1.83E+11,
1978,30100000000,56100000000,60700000000,,,4.47E+11,21300000000,1.9E+11,
1979,36200000000,80800000000,69500000000,,,4.28E+11,18400000000,2.07E+11,
1980,43000000000,86300000000,64200000000,,,4.15E+11,14400000000,2.36E+11,
1981,36600000000,93300000000,64100000000,,,3.97E+11,12400000000,2.71E+11,
1982,34100000000,1.1E+11,56600000000,,,3.79E+11,11100000000,2.56E+11,
1983,24600000000,1.49E+11,50500000000,,,3.51E+11,10700000000,2.91E+11,
1984,29800000000,1.72E+11,41300000000,,,3.42E+11,11500000000,2.45E+11,91000000000
1985,30600000000,1.09E+11,33600000000,,,3.28E+11,13200000000,2.51E+11,61700000000
1986,22700000000,57500000000,36400000000,,,3.15E+11,16000000000,2.65E+11,55200000000
1987,26300000000,88200000000,33400000000,,,2.75E+11,15800000000,1.99E+11,49100000000
1988,25200000000,63800000000,27500000000,,55000000000,2.46E+11,15800000000,1.21E+11,35800000000
1989,31500000000,51600000000,20400000000,,48000000000,1.99E+11,14000000000,1.21E+11,28000000000
1990,25800000000,52300000000,18500000000,,38000000000,1.32E+11,12300000000,55800000000,36300000000
1991,23500000000,41000000000,26600000000,,15000000000,1.14E+11,9540000000,45400000000,28600000000
1992,25800000000,22400000000,29400000000,,23000000000,1.04E+11,6890000000,28300000000,20600000000
1993,19100000000,46000000000,22100000000,,9000000000,99500000000,5150000000,18000000000,36800000000
1994,16000000000,13900000000,20300000000,,9000000000,1.09E+11,5260000000,5240000000,21200000000
1995,18900000000,19300000000,22500000000,,8000000000,1.2E+11,5360000000,12600000000,24700000000
1996,19000000000,7760000000,26100000000,,7000000000,1.3E+11,5790000000,13700000000,67600000000
1997,21400000000,4610000000,27900000000,5.69E+11,19000000000,1.32E+11,6010000000,16300000000,63100000000
1998,18500000000,19200000000,27300000000,5.21E+11,20000000000,1.29E+11,6800000000,16600000000,66600000000
1999,18200000000,16600000000,21500000000,5.06E+11,31000000000,1.23E+11,7960000000,21400000000,1.38E+11
2000,17000000000,6700000000,21900000000,4.63E+11,54000000000,1.11E+11,8130000000,19700000000,1.19E+11
2001,15500000000,10200000000,20600000000,4.61E+11,14000000000,90200000000,7870000000,19800000000,1.35E+11
2002,19900000000,4720000000,23800000000,5.43E+11,14000000000,61000000000,7620000000,19300000000,68800000000
2003,22000000000,,26400000000,5.06E+11,8000000000,45400000000,7310000000,19300000000,1.68E+11
2004,25500000000,,27200000000,4.82E+11,12000000000,31300000000,7060000000,23900000000,1.52E+11
2005,23000000000,,25600000000,2.33E+11,28000000000,11200000000,7060000000,23900000000,1.79E+11
2006,26000000000,,23500000000,2.87E+11,22000000000,5120000000,6570000000,23000000000,2.1E+11
2007,22300000000,,38100000000,3.84E+11,48000000000,4510000000,5720000000,22800000000,2.04E+11
2008,16700000000,,37900000000,2.21E+11,39000000000,3900000000,5670000000,17500000000,2.42E+11
2009,15800000000,,38100000000,3.77E+11,72000000000,3370000000,5310000000,20800000000,1.2E+11
2010,,,42700000000,2.52E+11,33000000000,2850000000,5430000000,15800000000,2.11E+11
2011,,,,4.49E+11,25000000000,2550000000,4990000000,20600000000,2.11E+11
2012,,,,4.76E+11,63000000000,2180000000,,17800000000,1.98E+11
2013,,,,,63000000000,1790000000,,15600000000,1.95E+11
2014,,,,,63000000000,,,18300000000,1.62E+11
2015,,,,,,,,17700000000,
2016,,,,,,,,,
2017,,,,,,,,,
