"","year","bottomtemp"
"1",1970,8.79704519896171
"2",1971,8.07412090544135
"3",1972,8.43551738502888
"4",1973,7.774513624513
"5",1974,9.94488110101949
"6",1975,10.4056476334599
"7",1976,10.1006342388976
"8",1977,10.8233636266146
"9",1978,11.3576714949061
"10",1979,9.68473716347646
"11",1980,10.2932606653478
"12",1981,10.4337359059315
"13",1982,10.0667140748447
"14",1983,9.67509477516302
"15",1984,9.27086484222076
"16",1985,9.16159880638887
"17",1986,10.0151072809449
"18",1987,11.1645151766925
"19",1988,11.0610420846213
"20",1989,10.5301617357211
"21",1990,9.74135131070701
"22",1991,7.79097832032503
"23",1992,8.94684259550503
"24",1993,8.96026587042098
"25",1994,8.70420786638099
"26",1995,9.48455026707588
"27",1996,10.8057086874659
"28",1997,11.4766758890488
"29",1998,10.5784936468953
"30",1999,8.75784196914771
"31",2000,8.83775711026138
"32",2001,7.6596094245115
"33",2002,7.15453283641583
"34",2003,7.40452422621923
"35",2004,9.61590391015395
"36",2005,8.90967438155069
"37",2006,9.27084188048656
"38",2007,10.1631713260491
"39",2008,10.5528998718096
"40",2009,11.1232031583786
"41",2010,10.4566016991933
"42",2011,10.3084991180744
"43",2012,11.1039474763167
"44",2013,11.2932171900876
"45",2014,11.2839225578623
"46",2015,11.6035613730932
"47",2016,11.7158856315491
"48",2017,10.2553971883578
"49",2018,9.39744701274695
"50",2019,9.09158859287317
"51",2020,7.6773777264051
"52",2021,9.25340865208552
"53",2022,10.2319149703552
"54",2023,10.6442424349296
"55",2024,11.2306351692249
"56",2025,9.67265595381076
"57",2026,9.63502506212069
"58",2027,9.60039281558532
"59",2028,8.85671486457189
"60",2029,9.07650978825031
"61",2030,9.21322910067363
"62",2031,8.98966191823666
"63",2032,10.6298805979582
"64",2033,10.0906851431116
"65",2034,9.19591513686837
"66",2035,9.01111885752433
"67",2036,9.55277556677659
"68",2037,10.6631840774073
"69",2038,11.2824123475032
"70",2039,11.8307481186512
"71",2040,12.902363769519
"72",2041,13.4051742492578
"73",2042,13.4397357167342
"74",2043,12.6505188269493
"75",2044,13.1832496340458
"76",2045,13.826878460554
"77",2046,13.8640963450456
"78",2047,13.2343330933498
"79",2048,12.624987301154
"80",2049,12.298878986866
"81",2050,12.5413498725647
"82",2051,13.599903406241
"83",2052,13.7646375527749
"84",2053,13.5297478116476
"85",2054,13.2756732503573
"86",2055,12.6564783836022
"87",2056,12.6332951279787
"88",2057,12.7947441920256
"89",2058,13.1333605478971
"90",2059,13.5673155662341
"91",2060,12.8622686404448
"92",2061,11.966109022116
"93",2062,11.7109249692697
"94",2063,11.2181589022661
"95",2064,10.2787756835803
"96",2065,9.85122831203999
"97",2066,10.4038830491213
"98",2067,12.1747575799624
"99",2068,14.2380090615688
"100",2069,14.2143790844159
"101",2070,14.7738392750422
"102",2071,14.8240249951681
"103",2072,14.6864851743747
"104",2073,14.6383706728617
"105",2074,13.9372410376867
"106",2075,14.7228189767935
"107",2076,14.5585913535876
"108",2077,13.6067416759638
"109",2078,13.3035103724553
"110",2079,13.0034541502977
"111",2080,13.5775542901112
"112",2081,13.1490335831275
"113",2082,13.758834640185
"114",2083,13.2380431126326
"115",2084,13.0660615700942
"116",2085,15.1230788689393
"117",2086,15.7401263943085
"118",2087,15.6872815627318
"119",2088,16.2898222177457
"120",2089,16.1922150972562
"121",2090,16.3129049539566
"122",2091,16.1047454430507
"123",2092,16.002372160936
"124",2093,15.2711081076891
"125",2094,15.2515390438911
"126",2095,15.6134208929844
"127",2096,15.3936011027067
"128",2097,16.1108340391746
"129",2098,15.8890827955344
"130",2099,15.4421929762914
"131",2100,15.8226419840104
