"","Year","Country","GearCode","Tonnage","MainSpecies","Divcode","Code","Effort","Catches","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","DateCreated","catchsum"
"3106",1990,3,"bottom otter trawl",1,"yellowtail flounder",44,1,1,0,0,0,0,11,14,0,0,0,0,0,0,0,"7/8/1996 0:00:00",25
"3107",1990,3,"bottom otter trawl",1,"yellowtail flounder",44,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,"7/8/1996 0:00:00",4
"3108",1990,3,"bottom otter trawl",1,"yellowtail flounder",44,3,1,0,0,0,0,3,1,0,0,0,0,0,0,0,"7/8/1996 0:00:00",4
"3109",1990,3,"bottom otter trawl",1,"yellowtail flounder",44,101,1,0,0,0,0,9,5,0,0,0,0,0,0,0,"7/8/1996 0:00:00",14
"3110",1990,3,"bottom otter trawl",1,"yellowtail flounder",44,102,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",1
"3111",1990,3,"bottom otter trawl",1,"yellowtail flounder",44,106,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"7/8/1996 0:00:00",1
"3112",1990,3,"bottom otter trawl",1,"yellowtail flounder",44,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,"7/8/1996 0:00:00",5
"3113",1990,3,"bottom otter trawl",1,"yellowtail flounder",44,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"7/8/1996 0:00:00",1
"3114",1990,3,"bottom otter trawl",1,"yellowtail flounder",44,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"7/8/1996 0:00:00",1
"3115",1990,3,"bottom otter trawl",1,"yellowtail flounder",44,103,1,0,0,0,0,0,0,0,0,0,3,0,0,0,"7/8/1996 0:00:00",3
"3118",1990,3,"bottom otter trawl",2,"yellowtail flounder",44,1,1,0,12,19,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",31
"3119",1990,3,"bottom otter trawl",2,"yellowtail flounder",44,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",4
"3120",1990,3,"bottom otter trawl",2,"yellowtail flounder",44,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",4
"3121",1990,3,"bottom otter trawl",2,"yellowtail flounder",44,101,1,0,32,25,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",57
"3122",1990,3,"bottom otter trawl",2,"yellowtail flounder",44,101,9,0,8,0,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",8
"3123",1990,3,"bottom otter trawl",2,"yellowtail flounder",44,103,9,0,1,0,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",1
"3124",1990,3,"bottom otter trawl",3,"yellowtail flounder",44,1,1,0,0,2,0,0,0,12,53,31,0,0,79,46,"7/8/1996 0:00:00",223
"3125",1990,3,"bottom otter trawl",3,"yellowtail flounder",44,2,1,0,0,1,0,0,0,1,4,4,0,0,6,4,"7/8/1996 0:00:00",20
"3126",1990,3,"bottom otter trawl",3,"yellowtail flounder",44,3,1,0,0,1,0,0,0,1,4,4,0,0,6,7,"7/8/1996 0:00:00",23
"3127",1990,3,"bottom otter trawl",3,"yellowtail flounder",44,101,1,0,0,13,0,0,0,1,35,5,0,0,88,66,"7/8/1996 0:00:00",208
"3128",1990,3,"bottom otter trawl",3,"yellowtail flounder",44,102,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"7/8/1996 0:00:00",1
"3129",1990,3,"bottom otter trawl",3,"yellowtail flounder",44,103,1,0,0,1,0,0,0,0,12,0,0,0,0,0,"7/8/1996 0:00:00",13
"3130",1990,3,"bottom otter trawl",3,"yellowtail flounder",44,106,1,0,0,0,0,0,0,1,2,3,0,0,0,0,"7/8/1996 0:00:00",6
"3131",1990,3,"bottom otter trawl",3,"yellowtail flounder",44,101,9,0,0,2,13,0,0,0,0,2,0,0,0,0,"7/8/1996 0:00:00",17
"3132",1990,3,"bottom otter trawl",3,"yellowtail flounder",44,103,9,0,0,0,1,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",1
"3133",1990,3,"bottom otter trawl",3,"yellowtail flounder",44,112,9,0,0,0,0,0,0,0,0,1,0,0,0,0,"7/8/1996 0:00:00",1
"3134",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,1,1,0,110,484,193,633,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",1420
"3135",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,2,1,0,12,50,18,40,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",120
"3136",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,3,1,0,12,51,18,41,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",122
"3137",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,101,1,0,222,1299,476,507,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",2504
"3138",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,102,1,0,1,4,1,7,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",13
"3139",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,103,1,0,1,9,2,2,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",14
"3140",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,106,1,0,7,17,5,10,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",39
"3141",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,112,1,0,0,20,11,9,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",40
"3142",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,114,1,0,0,14,2,2,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",18
"3143",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,118,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",1
"3144",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,120,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",2
"3145",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,186,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",1
"3146",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,188,1,0,1,1,1,1,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",4
"3147",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",0
"3148",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,1,1,0,0,0,0,64,197,0,139,0,7,17,104,10,"7/8/1996 0:00:00",538
"3149",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,2,1,0,0,0,0,6,13,0,11,0,1,1,10,2,"7/8/1996 0:00:00",44
"3150",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,3,1,0,0,0,0,6,13,0,11,0,1,1,10,2,"7/8/1996 0:00:00",44
"3151",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,101,1,0,0,0,0,1,0,0,2,0,0,0,0,0,"7/8/1996 0:00:00",3
"3152",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,102,1,0,0,0,0,2,0,0,0,0,0,0,0,3,"7/8/1996 0:00:00",5
"3153",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,103,1,0,0,0,0,73,165,0,255,0,18,20,18,6,"7/8/1996 0:00:00",555
"3154",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,106,1,0,0,0,0,0,0,0,5,0,0,0,0,0,"7/8/1996 0:00:00",5
"3155",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,114,1,0,0,0,0,1,0,0,0,0,0,0,0,4,"7/8/1996 0:00:00",5
"3156",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,116,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"7/8/1996 0:00:00",1
"3157",1990,3,"bottom otter trawl",5,"yellowtail flounder",44,186,1,0,0,0,0,3,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",3
"3164",1990,3,"Midwater trawl (stern)",3,"15",44,1,1,0,0,0,0,0,10,0,0,0,0,0,0,0,"7/8/1996 0:00:00",10
"3165",1990,3,"Midwater trawl (stern)",3,"15",44,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"7/8/1996 0:00:00",1
"3166",1990,3,"Midwater trawl (stern)",3,"15",44,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"7/8/1996 0:00:00",1
"3167",1990,3,"Midwater trawl (stern)",3,"15",44,103,1,0,0,0,0,0,31,0,0,0,0,0,0,0,"7/8/1996 0:00:00",31
"3168",1990,3,"Midwater trawl (stern)",3,"15",44,103,9,0,0,0,0,23,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",23
"3169",1990,3,"Midwater trawl (stern)",4,"15",44,1,1,0,0,0,0,67,65,12,0,0,0,0,0,16,"7/8/1996 0:00:00",160
"3170",1990,3,"Midwater trawl (stern)",4,"15",44,2,1,0,0,0,0,4,5,1,0,0,0,0,0,3,"7/8/1996 0:00:00",13
"3171",1990,3,"Midwater trawl (stern)",4,"15",44,3,1,0,0,0,0,4,5,1,0,0,0,0,0,3,"7/8/1996 0:00:00",13
"3172",1990,3,"Midwater trawl (stern)",4,"15",44,103,1,0,0,0,0,84,157,28,0,0,0,0,0,103,"7/8/1996 0:00:00",372
"3173",1990,3,"Midwater trawl (stern)",5,"15",44,1,1,0,0,0,0,290,673,115,29,0,0,0,0,0,"7/8/1996 0:00:00",1107
"3174",1990,3,"Midwater trawl (stern)",5,"15",44,2,1,0,0,0,0,18,45,8,2,0,0,0,0,0,"7/8/1996 0:00:00",73
"3175",1990,3,"Midwater trawl (stern)",5,"15",44,3,1,0,0,0,0,18,46,8,2,0,0,0,0,0,"7/8/1996 0:00:00",74
"3176",1990,3,"Midwater trawl (stern)",5,"15",44,101,1,0,0,0,0,1,0,0,1,0,0,0,0,0,"7/8/1996 0:00:00",2
"3177",1990,3,"Midwater trawl (stern)",5,"15",44,103,1,0,0,0,0,381,1168,89,26,0,0,0,0,0,"7/8/1996 0:00:00",1664
"3178",1990,3,"Midwater trawl (stern)",5,"15",44,106,1,0,0,0,0,0,2,0,0,0,0,0,0,0,"7/8/1996 0:00:00",2
"3180",1990,3,"bottom otter trawl",1,"yellowtail flounder",45,101,9,0,0,0,0,1,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",1
"3181",1990,3,"bottom otter trawl",4,"yellowtail flounder",45,1,1,0,0,0,0,0,0,43,0,0,0,0,0,0,"7/8/1996 0:00:00",43
"3182",1990,3,"bottom otter trawl",4,"yellowtail flounder",45,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,"7/8/1996 0:00:00",3
"3183",1990,3,"bottom otter trawl",4,"yellowtail flounder",45,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,"7/8/1996 0:00:00",3
"3184",1990,3,"bottom otter trawl",4,"yellowtail flounder",45,103,1,0,0,0,0,0,0,121,0,0,0,0,0,0,"7/8/1996 0:00:00",121
"3185",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,1,1,0,309,317,682,358,0,0,33,0,0,0,165,97,"7/8/1996 0:00:00",1961
"3186",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,2,1,0,22,39,62,25,0,0,3,0,0,0,12,7,"7/8/1996 0:00:00",170
"3187",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,3,1,0,22,43,62,26,0,0,3,0,0,0,12,7,"7/8/1996 0:00:00",175
"3188",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,101,1,0,338,1222,1491,238,0,0,31,0,0,0,82,124,"7/8/1996 0:00:00",3526
"3189",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,102,1,0,11,17,37,42,0,0,8,0,0,0,1,6,"7/8/1996 0:00:00",122
"3190",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,103,1,0,15,11,26,6,0,0,0,0,0,0,2,0,"7/8/1996 0:00:00",60
"3191",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,106,1,0,71,48,112,23,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",254
"3192",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,112,1,0,6,8,41,10,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",65
"3193",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,114,1,0,0,1,5,3,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",9
"3194",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,116,1,0,0,0,0,0,0,0,6,0,0,0,1,1,"7/8/1996 0:00:00",8
"3195",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,120,1,0,0,1,2,1,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",4
"3196",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,186,1,0,2,0,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",2
"3197",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,188,1,0,1,0,3,2,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",6
"3198",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,101,9,0,0,44,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",44
"3199",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,102,9,0,0,2,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",2
"3200",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,106,9,0,0,4,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",4
"3201",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",20
"3202",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",2
"3203",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",2
"3204",1990,3,"bottom otter trawl",5,"yellowtail flounder",45,101,1,0,8,0,0,0,0,0,0,0,0,0,0,0,"7/8/1996 0:00:00",8
