"","species","w_inf","w_mat","w_min","f0","X.beta","sigma","k_vb","fishing_mortality"
"1","HADDOCK",3220.889544,805.222386,0.001,0.6,100,1.3,0.2629333,0.016422208
"2","REDFISH UNSEPARATED",3833.470217,958.3675544,0.001,0.6,100,1.3,0.13733333,0.006625
"3","HERRING(ATLANTIC)",282.7901464,70.69753661,0.001,0.6,100,1.3,0.3549758,0.173727273
"4","SILVER HAKE",1859.306549,464.8266372,0.001,0.6,100,1.3,0.421375,0.180181818
"5","COD(ATLANTIC)",17573.85428,4393.46357,0.001,0.6,100,1.3,0.1853738,0.00806
"6","NORTHERN SAND LANCE",47.71573707,11.92893427,0.001,0.6,100,1.3,0.35,0
"7","HALIBUT(ATLANTIC)",85574.8983,21393.72457,0.001,0.6,100,1.3,0.0803375,0.196181818
"8","SPINY DOGFISH",4499.162893,1124.790723,0.001,0.6,100,1.3,0.1145,0.065976111
"9","YELLOWTAIL FLOUNDER",683.0020313,170.7505078,0.001,0.6,100,1.3,0.335,0.104111111
"10","AMERICAN PLAICE",1683.782457,420.9456142,0.001,0.6,100,1.3,0.1196154,0.075991801
"11","WHITE HAKE",18066.17807,4516.544517,0.001,0.6,100,1.3,0.162,0
"12","WITCH FLOUNDER",1261.934324,315.483581,0.001,0.6,100,1.3,0.2173125,0.117554545
"13","TURBOT,GREENLAND HALIBUT",4071.223783,1017.805946,0.001,0.6,100,1.3,0.0776,0.105481158
