,AMERICAN PLAICE,COD(ATLANTIC),HADDOCK,HERRING(ATLANTIC),REDFISH (UNSEPARATED),SPINY DOGFISH,"TURBOT,GREENLAND HALIBUT",WITCH FLOUNDER,YELLOWTAIL FLOUNDER
1970,10000000,1.53401E+11,19070000000,1.13584E+11,30717000000,,,,
1971,,1.54901E+11,31475000000,91385000000,57222000000,,,,
1972,84000000,1.71634E+11,6403000000,43415000000,51647000000,,,,
1973,,1.65641E+11,8362000000,28971000000,40285000000,,,,
1974,16936000000,1.46656E+11,2047000000,40163000000,46303000000,,,4741000000,
1975,3337000000,1.17187E+11,3773000000,40361000000,47729000000,,,2287000000,534000000
1976,3166000000,1.00908E+11,4184000000,41238000000,34707000000,,,391000000,
1977,21498000000,43277000000,6819000000,19527000000,44285000000,,432000000,1495000000,
1978,17758000000,72468000000,12059000000,28033000000,40492000000,,2391000000,7541000000,2030000000
1979,14393000000,1.00807E+11,3779000000,4123000000,34596000000,,2850000000,5197000000,5493000000
1980,13207000000,1.3473E+11,28197000000,15915000000,37168000000,,409000000,4908000000,5263000000
1981,12278000000,1.61478E+11,40960000000,23795000000,46730000000,,200000000,1333000000,6990000000
1982,6075000000,1.69081E+11,29857000000,11526000000,29777000000,,,1240000000,6367000000
1983,8757000000,1.50562E+11,19112000000,14261000000,20798000000,,,2697000000,4947000000
1984,7728000000,1.54916E+11,11490000000,11298000000,14866000000,,,3200000000,4926000000
1985,3063000000,1.37307E+11,11734000000,11589000000,22398000000,,,2858000000,557000000
1986,1147000000,1.25232E+11,23478000000,13431000000,20199000000,,,3136000000,263000000
1987,3447000000,1.05182E+11,1525000000,10825000000,40017000000,,,3045000000,115000000
1988,1577000000,1.04632E+11,2927000000,12096000000,32260000000,,,2018000000,
1989,3279000000,96935000000,12189000000,12265000000,28558000000,,1000000,2317000000,1522000000
1990,1420000000,91397000000,10290000000,21182000000,25033000000,,,1900000000,5268000000
1991,285000000,93386000000,10571000000,19845000000,38711000000,,,3131000000,4693000000
1992,1872000000,95434000000,13955000000,16398000000,39325000000,2000000,,3210000000,4714000000
1993,302000000,16321000000,3071000000,12246000000,34494000000,14000000,,2428000000,5378000000
1994,972000000,310000000,41000000,5300000000,40639000000,18000000,,1556000000,4998000000
1995,1832000000,344000000,27000000,8011000000,25118000000,10000000,,1642000000,2726000000
1996,3655000000,702000000,282000000,20041000000,11614000000,,,2068000000,1798000000
1997,4495000000,430000000,73000000,26910000000,12117000000,72000000,,983000000,264000000
1998,5638000000,843000000,148000000,9617000000,7292000000,40000000,,1834000000,155000000
1999,6758000000,866000000,8000000,13697000000,12723000000,165000000,,911000000,198000000
2000,3146000000,550000000,34000000,4815000000,9748000000,25000000,14000000,1009000000,
2001,1812000000,1945000000,293000000,8892000000,11783000000,127000000,,878000000,48000000
2002,1201000000,584000000,75000000,12536000000,9260000000,282000000,13000000,2528000000,544000000
2003,,,,,1966000000,,,,
2004,0,4000000,,9984000000,39000000,,,6000000,
2005,,29000000,,8323000000,124000000,,,63000000,
2006,,0,,8577000000,1828000000,,,18000000,
2007,,6000000,,6433000000,651000000,,,15000000,
2008,,,,,955000000,,,29000000,
2009,,,,,2911000000,,,,
2010,,,,10206000000,3552000000,,,,36000000
2011,,4000000,,12056000000,1176000000,,,,
2012,,0,,1849000000,170000000,,9000000,15000000,
2013,,0,,,201000000,,1000000,0,
2014,,,,,,,,4000000,
2015,,,,3225000000,,,,7000000,
2016,,51000000,,3009000000,0,,1000000,22000000,
2017,,,,,,,,,
