"","Year","MainSpecies","sum"
"1",1970,"american plaice",10
"2",1972,"american plaice",16.8
"3",1974,"american plaice",155.376146788991
"4",1975,"american plaice",59.5892857142857
"5",1976,"american plaice",63.32
"6",1977,"american plaice",177.669421487603
"7",1978,"american plaice",112.392405063291
"8",1979,"american plaice",113.330708661417
"9",1980,"american plaice",95.7028985507246
"10",1981,"american plaice",122.78
"11",1982,"american plaice",82.0945945945946
"12",1983,"american plaice",106.792682926829
"13",1984,"american plaice",101.684210526316
"14",1985,"american plaice",38.2875
"15",1986,"american plaice",14.5189873417722
"16",1987,"american plaice",35.1734693877551
"17",1988,"american plaice",33.5531914893617
"18",1989,"american plaice",34.15625
"19",1990,"american plaice",25.3571428571429
"20",1991,"american plaice",19
"21",1992,"american plaice",74.88
"22",1993,"american plaice",27.4545454545455
"23",1994,"american plaice",26.2702702702703
"24",1995,"american plaice",30.0327868852459
"25",1996,"american plaice",54.5522388059701
"26",1997,"american plaice",65.1449275362319
"27",1998,"american plaice",89.4920634920635
"28",1999,"american plaice",103.969230769231
"29",2000,"american plaice",78.65
"30",2001,"american plaice",46.4615384615385
"31",2002,"american plaice",34.3142857142857
"32",2004,"american plaice",0
"33",1970,"cod",496.443365695793
"34",1971,"cod",482.557632398754
"35",1972,"cod",405.754137115839
"36",1973,"cod",347.255765199161
"37",1974,"cod",357.69756097561
"38",1975,"cod",308.386842105263
"39",1976,"cod",285.85835694051
"40",1977,"cod",138.708333333333
"41",1978,"cod",166.211009174312
"42",1979,"cod",239.446555819477
"43",1980,"cod",309.724137931034
"44",1981,"cod",337.114822546973
"45",1982,"cod",395.974238875878
"46",1983,"cod",357.62945368171
"47",1984,"cod",378.767726161369
"48",1985,"cod",290.289640591966
"49",1986,"cod",258.210309278351
"50",1987,"cod",172.712643678161
"51",1988,"cod",148.625
"52",1989,"cod",149.360554699538
"53",1990,"cod",138.270801815431
"54",1991,"cod",155.126245847176
"55",1992,"cod",176.72962962963
"56",1993,"cod",55.8938356164384
"57",1994,"cod",8.1578947368421
