,AMERICAN PLAICE,COD(ATLANTIC),HADDOCK,HERRING(ATLANTIC),REDFISH (UNSEPARATED),SPINY DOGFISH,WITCH FLOUNDER,"TURBOT,GREENLAND HALIBUT",YELLOWTAIL FLOUNDER
1970,0.000404858,1.63E-02,0.462915601,4.90E-01,7.70E-02,0.00E+00,1.74E-01,0.00E+00,2.33E-01
1971,0.000473239,9.26E-03,0.345776031,5.10E-01,1.85E-01,0.00E+00,1.82E-01,0.00E+00,3.89E-01
1972,0.005061112,8.98E-03,0.5625,6.90E-01,1.64E-01,0.00E+00,9.77E-02,0.00E+00,5.20E-01
1973,0.002190783,4.11E-03,0.418530351,5.40E-01,1.97E-01,0.00E+00,8.07E-02,0.00E+00,5.65E-01
1974,0.001693048,2.07E-02,0.201201201,3.40E-01,1.35E-01,0.00E+00,1.22E-01,0.00E+00,5.17E-01
1975,0.004949009,1.88E-02,0.484126984,4.40E-01,1.06E-01,0.00E+00,8.86E-02,4.30E-01,5.90E-01
1976,0.002816852,1.08E-02,0.439698492,4.10E-01,1.19E-01,0.00E+00,2.88E-01,3.60E-01,2.11E-01
1977,0.004018819,2.95E-03,0.091810345,5.70E-01,9.30E-02,0.00E+00,1.17E-01,4.70E-01,2.69E-01
1978,0.003179498,2.96E-03,0.556008147,9.80E-01,6.50E-02,0.00E+00,2.20E-01,5.90E-01,3.39E-01
1979,0.003391713,2.96E-03,0.30806846,6.80E-01,7.20E-02,0.00E+00,2.37E-01,4.50E-01,4.11E-01
1980,0.001909177,3.59E-03,0.300720906,2.70E-01,8.00E-02,0.00E+00,2.58E-01,5.30E-01,2.73E-01
1981,0.002917833,3.61E-03,0.392278954,6.30E-01,1.21E-01,0.00E+00,1.43E-01,5.10E-01,3.06E-01
1982,0.002981942,3.60E-03,0.280261723,5.90E-01,1.09E-01,0.00E+00,1.26E-01,4.10E-01,2.62E-01
1983,0.001556402,2.40E-03,0.582978723,5.50E-01,1.00E-01,0.00E+00,1.07E-01,5.30E-01,1.86E-01
1984,0.000487214,2.20E-03,0.31547619,5.90E-01,7.30E-02,0.00E+00,9.28E-02,3.50E-01,2.76E-01
1985,0.00114946,2.66E-03,0.214095745,5.10E-01,1.01E-01,0.00E+00,1.22E-01,4.80E-01,5.23E-01
1986,0.001478114,4.49E-03,0.262626263,1.70E-01,2.23E-01,0.00E+00,1.14E-01,4.10E-01,7.19E-01
1987,0.001298717,1.96E-03,0.464646465,2.20E-01,5.22E-01,0.00E+00,1.45E-01,5.40E-01,4.86E-01
1988,0.001006236,2.33E-03,0.399293286,3.80E-01,4.83E-01,0.00E+00,1.66E-01,6.70E-01,5.38E-01
1989,0.000603175,2.89E-03,0.31627907,2.30E-01,3.75E-01,0.00E+00,1.71E-01,4.30E-01,3.51E-01
1990,0.002902326,2.64E-03,0.183050847,5.10E-01,3.69E-01,0.00E+00,1.35E-01,6.10E-01,4.87E-01
1991,0.001168279,3.78E-03,0.161147541,4.10E-01,3.67E-01,0.00E+00,1.13E-01,6.60E-01,6.57E-01
1992,0.001018228,7.89E-03,0.303468208,6.10E-01,4.47E-01,4.97E-01,1.36E-01,8.00E-01,5.08E-01
1993,0.001572397,1.22E-03,0.54453125,7.30E-01,4.06E-01,7.46E-01,2.04E-01,1.30E+00,7.83E-01
