species,w_inf,w_mat,w_min,f0,X.beta,sigma,k_vb,fishing_mortality,alpha,interaction_resource,n,p,q,pred_kernel_type,beta,h,k,ks,z0,gamma,w_mat25,m,erepro,R_max
HADDOCK,3220.889544,805.222386,0.001,0.6,100,1.3,0.2629333,0.016422208,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,30.426416,0,2.921246355,0.04062805,1.09E-10,721.4458088,1,1,-515317112
REDFISH UNSEPARATED,3833.470217,958.3675544,0.001,0.6,100,1.3,0.13733333,0.006625,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,16.85204357,0,1.608605007,0.038337214,6.02E-11,858.657518,1,1,10329020421
HERRING(ATLANTIC),282.7901464,70.69753661,0.001,0.6,100,1.3,0.3549758,0.173727273,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,18.00921175,0,1.875120324,0.091410586,6.44E-11,63.34205602,1,1,13989768854
COD(ATLANTIC),17573.85428,4393.46357,0.001,0.6,100,1.3,0.1853738,0.00806,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,37.94177225,0,3.442484217,0.023077862,1.36E-10,3936.360854,1,1,-5855067.309
SPINY DOGFISH,4499.162893,1124.790723,0.001,0.6,100,1.3,0.1145,0.065976111,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,14.8283631,0,1.407900837,0.036344666,5.30E-11,1007.765764,1,1,12662583944
YELLOWTAIL FLOUNDER,683.0020313,170.7505078,0.001,0.6,100,1.3,0.335,0.104111111,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,22.94699678,0,2.320037656,0.068130867,8.20E-11,152.985362,1,1,6085451009
AMERICAN PLAICE,1683.782457,420.9456142,0.001,0.6,100,1.3,0.1196154,0.075991801,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,11.12129232,0,1.09109434,0.050433904,3.97E-11,377.1497842,1,1,9790228567
WITCH FLOUNDER,1261.934324,315.483581,0.001,0.6,100,1.3,0.2173125,0.117554545,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,18.32778935,0,1.815482661,0.055522924,6.55E-11,282.6601833,1,1,12131253865
"TURBOT,GREENLAND HALIBUT",4071.223783,1017.805946,0.001,0.6,100,1.3,0.0776,0.105481158,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,9.717122207,0,0.925685394,0.037575917,3.47E-11,911.9118478,1,1,9074397922
SILVER HAKE,1859.306549,464.8266372,0.001,0.6,100,1.3,0.421375,0.180181818,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,40.51192193,0,3.961451953,0.048794131,1.44E-10,416.465358,1,1,709092131.7
NORTHERN SAND LANCE,47.71573707,11.92893427,0.001,0.6,100,1.3,0.35,0,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,9.6152294,0,1.062317106,0.165423563,3.41E-11,10.68782958,1,1,13200806544
HALIBUT(ATLANTIC),85574.8983,21393.72457,0.001,0.6,100,1.3,0.0803375,0.196181818,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,27.94086736,0,2.404796049,0.013615569,9.90E-11,19167.88852,1,1,15198141335
WHITE HAKE,18066.17807,4516.544517,0.001,0.6,100,1.3,0.162,0,0.6,1,0.666666667,0.7,0.716666667,lognormal,30,33.46636069,0,3.033631722,0.022866296,1.19E-10,4046.636269,1,1,-76803557.71
