"","year","phyconc"
"1",1970,1601444742901.49
"2",1971,1525656998705.72
"3",1972,1557134633807.46
"4",1973,1395831647143.89
"5",1974,1546015219018.96
"6",1975,1657797455807.39
"7",1976,1494438676638.69
"8",1977,1592023759698.29
"9",1978,1740843410771.75
"10",1979,1641804545609.8
"11",1980,1602950025397.47
"12",1981,1601384769386.8
"13",1982,1888666701119.29
"14",1983,1509216867371.76
"15",1984,1705772649143.94
"16",1985,1605911434485.14
"17",1986,1540597481318.88
"18",1987,1701735662478.96
"19",1988,1743904056174.65
"20",1989,1598289144673.92
"21",1990,1685152012061.98
"22",1991,1728754231744.03
"23",1992,1547874941619.58
"24",1993,1621922632071.23
"25",1994,1749940461659.71
"26",1995,1650955722496.42
"27",1996,1631840459911.94
"28",1997,1579567661972.31
"29",1998,1710521115137.92
"30",1999,1516126753192.48
"31",2000,1566173283182.74
"32",2001,1629541197835.32
"33",2002,1560655001553.54
"34",2003,1447627920695.88
"35",2004,1567238824000.77
"36",2005,1536350881478.47
"37",2006,1520167212217
"38",2007,1559473271595.56
"39",2008,1610111575892.74
"40",2009,1605229489805.12
"41",2010,1476609085104.34
"42",2011,1334108496923.8
"43",2012,1458509159251.55
"44",2013,1545749551995.33
"45",2014,1583904662267
"46",2015,1451972644314.91
"47",2016,1451061999711.16
"48",2017,1416970189926.64
"49",2018,1485327895688.92
"50",2019,1480879830846.1
"51",2020,1529574869607.38
"52",2021,1452686487958.47
"53",2022,1415188184584.01
"54",2023,1568055549635.06
"55",2024,1467402872736.25
"56",2025,1504306414000.96
"57",2026,1480679619480.24
"58",2027,1515701429806.39
"59",2028,1406064399826.66
"60",2029,1382365879451.84
"61",2030,1437858894589.81
"62",2031,1415455726021.98
"63",2032,1414231139164.56
"64",2033,1456961654108.86
"65",2034,1446292249155.32
"66",2035,1414994915768.84
"67",2036,1442638531899.13
"68",2037,1671716446262.09
"69",2038,1443815502560.8
"70",2039,1468806034344.8
"71",2040,1369188580750.45
"72",2041,1481993398691.48
"73",2042,1517404053345.43
"74",2043,1564972468257.62
"75",2044,1318870210265.72
"76",2045,1294082141096.33
"77",2046,1394001856161.68
"78",2047,1420159518783.92
"79",2048,1464806693019.7
"80",2049,1430079379486
"81",2050,1418394828773.58
"82",2051,1390649504678.4
"83",2052,1453040627122.17
"84",2053,1426072515876.87
"85",2054,1555528631201.04
"86",2055,1477471005932.02
"87",2056,1431373950519.33
"88",2057,1416109527536.94
"89",2058,1265925634276.17
"90",2059,1401357989823.47
"91",2060,1686534986156.83
"92",2061,1548509183678.19
"93",2062,1409830849893.82
"94",2063,1357434145762.73
"95",2064,1378430998495.6
"96",2065,1415564522129.16
"97",2066,1399476077514.95
"98",2067,1303585026231.67
"99",2068,1279033355993.46
"100",2069,1380319256739.03
"101",2070,1341868605287.56
"102",2071,1336774972908.89
"103",2072,1287579237837.98
"104",2073,1383156927220.46
"105",2074,1378701627249.8
"106",2075,1224046042882.94
"107",2076,1582055407856.94
"108",2077,1495938908964.96
"109",2078,1409152713982.86
"110",2079,1385985454394.85
"111",2080,1317967102969.82
"112",2081,1204049652377.08
"113",2082,1350772970346.27
"114",2083,1336528332693.21
"115",2084,1170316099675.12
"116",2085,1209272985028.02
"117",2086,1320557852894.3
"118",2087,1304292249174.9
"119",2088,1350950774855.91
"120",2089,1386220455801.6
"121",2090,1275380279340.29
"122",2091,1475016933060.01
"123",2092,1393388355329.48
"124",2093,1481628009944.03
"125",2094,1364590609845.26
"126",2095,1238787962103.19
"127",2096,1298125184991.2
"128",2097,1242534039259.7
"129",2098,1308387896861.84
"130",2099,1374144502840.97
"131",2100,1299685237341.44
