"","year","plankconc"
"1",1970,2547011534881.84
"2",1971,2546589706352.29
"3",1972,2516619813470.08
"4",1973,2336530251961.46
"5",1974,2500032754622.22
"6",1975,2639328552234.26
"7",1976,2435390410604.14
"8",1977,2589273621996.18
"9",1978,2705475702555.38
"10",1979,2702937015681.84
"11",1980,2535092140706.32
"12",1981,2605351998719.28
"13",1982,2892850496090.49
"14",1983,2521598984486.07
"15",1984,2644046708420.18
"16",1985,2591261627016.03
"17",1986,2521848540289.61
"18",1987,2733320979655.92
"19",1988,2728584772435.5
"20",1989,2566548690040.67
"21",1990,2675936121352.54
"22",1991,2849744063958.05
"23",1992,2550504914979.99
"24",1993,2655751526682.96
"25",1994,2745845259164.85
"26",1995,2656350692899.73
"27",1996,2698759995807.07
"28",1997,2554654697610.17
"29",1998,2689752357441.49
"30",1999,2514254995835.06
"31",2000,2531134406516.22
"32",2001,2700909596965.04
"33",2002,2572550284691.56
"34",2003,2444075931825.44
"35",2004,2562059148320.86
"36",2005,2553922168989.14
"37",2006,2512259752938.17
"38",2007,2459988650753.4
"39",2008,2545272383573.29
"40",2009,2615156837298.72
"41",2010,2408421022024.92
"42",2011,2290692923977.43
"43",2012,2426011062376.47
"44",2013,2480890283640.43
"45",2014,2525575314285.18
"46",2015,2401348108312.14
"47",2016,2426608637617.85
"48",2017,2402933030068.77
"49",2018,2507045566730.68
"50",2019,2429410600637.73
"51",2020,2524445793937.78
"52",2021,2354176218652.41
"53",2022,2347567671887
"54",2023,2570996944075.12
"55",2024,2440796844278.52
"56",2025,2523135859893.49
"57",2026,2416239527487.14
"58",2027,2522345586625.69
"59",2028,2371993144376.27
"60",2029,2296196020558.17
"61",2030,2344141941310.61
"62",2031,2354901656265.79
"63",2032,2345032622634.95
"64",2033,2397889308773.37
"65",2034,2456800047608.26
"66",2035,2357650512931.55
"67",2036,2349900483571.88
"68",2037,2685376607091.97
"69",2038,2463049988839.3
"70",2039,2411239968226.9
"71",2040,2287304155389.74
"72",2041,2423251512550.16
"73",2042,2481090690896.67
"74",2043,2585275204093.52
"75",2044,2207660454434.54
"76",2045,2228978292530.65
"77",2046,2350513734420.21
"78",2047,2345159671707.51
"79",2048,2384002890527.17
"80",2049,2371905121827.69
"81",2050,2346724528812.71
"82",2051,2277697427552.74
"83",2052,2370217402724.8
"84",2053,2381591738367.09
"85",2054,2514455267876.99
"86",2055,2386010397308.82
"87",2056,2363353877720.82
"88",2057,2315527584277.07
"89",2058,2133624108859.43
"90",2059,2315186845193.38
"91",2060,2605429667343.48
"92",2061,2470545253004.26
"93",2062,2327229486371.17
"94",2063,2244696394527.23
"95",2064,2330691935689.88
"96",2065,2388569383871.29
"97",2066,2234220372577.58
"98",2067,2177815273144.09
"99",2068,2077515227916.44
"100",2069,2278112503381.49
"101",2070,2257533883181.94
"102",2071,2247320541304.96
"103",2072,2083291506835.03
"104",2073,2264393801967.3
"105",2074,2205860134811.56
"106",2075,2103628380400.21
"107",2076,2508990022400.42
"108",2077,2418056009500.25
"109",2078,2298644524435.51
"110",2079,2313841318495.81
"111",2080,2170769417106.48
"112",2081,1924182988903.02
"113",2082,2235636016071.07
"114",2083,2200042390419.37
"115",2084,1890394510939.4
"116",2085,2056568359837.06
"117",2086,2194819242429.68
"118",2087,2156652771037.95
"119",2088,2259684778207.78
"120",2089,2294240643331.07
"121",2090,2136159072886.19
"122",2091,2377814561451.97
"123",2092,2234559192717.58
"124",2093,2367048620210.29
"125",2094,2217984469098.24
"126",2095,2003647621141.14
"127",2096,2147503595416.22
"128",2097,2097151285381.71
"129",2098,2197758100966.87
"130",2099,2147592631994.77
"131",2100,2140487763676.12
