,AMERICAN PLAICE,COD(ATLANTIC),HADDOCK,HERRING(ATLANTIC),REDFISH (UNSEPARATED),SPINY DOGFISH,"TURBOT,GREENLAND HALIBUT",WITCH FLOUNDER,YELLOWTAIL FLOUNDER
1970,10000000,,,,,,,,
1971,,,,,,,,,
1972,16800000,,,,,,,,
1973,,,,,,,,,
1974,155376146.8,,,,,,,56440476.19,
1975,59589285.71,,,,,,,35184615.38,26700000
1976,63320000,,,,,,,23000000,
1977,177669421.5,,,,,,,33977272.73,
1978,112392405.1,,,,,,,72509615.38,44130434.78
1979,113330708.7,,,,,,,70229729.73,116872340.4
1980,95702898.55,59829960000,12692640000,17959673000,8357369000,,,60592592.59,119613636.4
1981,122780000,67291243000,14085171000,25170480000,11534014000,,,38085714.29,124821428.6
1982,82094594.59,68195053000,14620413000,13509411000,7122576000,,,25306122.45,151595238.1
1983,106792682.9,64210751000,8863438000,15240088000,7175786000,,,62720930.23,154593750
1984,101684210.5,66647859000,7229773000,13168024000,4531851000,,,61538461.54,92943396.23
1985,38287500,67361172000,10388780000,13066846000,5929940000,,,45365079.37,15054054.05
1986,14518987.34,62075314000,14736509000,13766988000,3575153000,,,31676767.68,9740740.741
1987,35173469.39,52878529000,2756956000,11628495000,11430433000,,,46136363.64,12777777.78
1988,33553191.49,45825052961,3471931006,12548825629,9941631488,,,36690909.09,
1989,34156250,48362276133,6859229558,12668135051,10335441871,,,55166666.67,63416666.67
1990,25357142.86,41473553296,6432961266,22036947959,9391371546,,,22352941.18,74197183.1
1991,19000000,37232567231,5071798348,20681308696,13283087060,,,35988505.75,92019607.84
1992,74880000,34417044018,5974369741,16972215780,14917577807,2000000,,51774193.55,112238095.2
1993,27454545.45,4751303573,1255276226,12332540499,12680512418,2333333.333,,75875000,96035714.29
1994,26270270.27,509782322,92468437,5350814685,11778771633,6000000,,44457142.86,124950000
1995,30032786.89,323000000,110000000,7980000000,6414000000,2500000,22000000,31576923.08,77885714.29
1996,54552238.81,366000000,200000000,19839000000,3800000000,,21000000,39018867.92,85619047.62
1997,65144927.54,434000000,127000000,26216000000,4419000000,9000000,27000000,19660000,37714285.71
1998,89492063.49,564000000,163000000,9424000000,2145000000,10000000,34000000,76416666.67,25833333.33
1999,103969230.8,603000000,76000000,13428000000,3938000000,10312500,49000000,29387096.77,22000000
2000,78650000,403000000,70000000,4779000000,3062000000,3571428.571,45000000,32548387.1,
2001,46461538.46,310000000,107000000,7926000000,4238000000,21166666.67,41000000,28322580.65,9600000
2002,34314285.71,271000000,114000000,12273000000,3257000000,17625000,49000000,74352941.18,90666666.67
2003,,222000000,36000000,5512000000,2985000000,,53000000,,
2004,0,282000000,26000000,9862000000,2717000000,,42000000,400000,
2005,,270000000,18000000,9038000000,2600000000,,76000000,4846153.846,
2006,,281000000,47000000,13170000000,2990000000,,63000000,1800000,
2007,,214000000,45000000,8769000000,2459000000,,64000000,1250000,
2008,,185000000,10000000,3438000000,1751000000,,45000000,2416666.667,
2009,,99000000,8000000,15022000000,3279000000,,44000000,,
2010,,84000000,16000000,9873000000,4088000000,,21000000,,4500000
2011,,69000000,22000000,11494000000,2972000000,,29000000,,
2012,,107000000,43000000,1803000000,4700000000,,31000000,789473.6842,
2013,,76000000,46000000,2972000000,2488000000,,23000000,0,
2014,,86000000,40000000,1222000000,3172000000,,26000000,666666.6667,
2015,,75000000,61000000,2807000000,2712000000,,19000000,411764.7059,
2016,,86000000,25000000,2380000000,2106000000,,17000000,2200000,
2017,,68000000,26000000,5891000000,2271000000,,14000000,,
